attack_date,attack_year,attack_type,attack_state,attack_location,activity,number_of_attacks,latitude,longitude,ice_cream
27-May-2018,2018.0,Provoked,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,1,29.078526,-80.9218453,9
26-May-2018,2018.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Walking,14,28.3200067,-80.6075513,12
26-May-2018,2018.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Standing,2,29.2108147,-81.0228331,15
21-May-2018,2018.0,Unprovoked,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,1,32.8194131,-79.7343791,6
13-May-2018,2018.0,Unprovoked,South Carolina,"Hilton Head Island, Beaufort County",Swimming,4,32.216316,-80.752608,9
28-Apr-2018,2018.0,Provoked,Texas,Galveston Bay,Fishing,1,29.4719753,-94.7691586,0
19-Apr-2018,2018.0,Unprovoked,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,1,21.8721041,-159.4378012,15
31-Mar-2018,2018.0,Unprovoked,Hawaii,Kukio Beach,Stand-Up Paddleboarding,1,19.8230556,-156.0008333,1
31-Dec-2017,2017.0,Unprovoked,Hawaii,"Hultin''s Beach, Oahu",Surfing,1,21.6187696,-158.0854313,15
30-Dec-2017,2017.0,Unprovoked,California,"Drakes Estero, Point Reyes, Marin County",Surfing,1,38.0537357,-122.9409494,0
24-Nov-2017,2017.0,Unprovoked,California,"Stillwater Cove, Monterey County",Spearfishing,1,36.563945,-121.9423337,15
18-Nov-2017,2017.0,Unprovoked,Florida,"Floridana Beach, Brevard County",Surfing,2,27.9456312,-80.497996,1
02-Nov-2017,2017.0,Unprovoked,Hawaii,Makaha,Surfing,1,21.4634328,-158.2206477,11
26-Oct-2017,2017.0,Unprovoked,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,2,21.3035275,-158.0452282,10
23-Oct-2017,2017.0,Unprovoked,Florida,"Juno Beach, Palm Beach County",Surfing ,4,26.8797819,-80.0533743,14
23-Oct-2017,2017.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,2,26.7937155,-80.032878,15
18-Oct-2017,2017.0,Unprovoked,Florida,"Lantana Beach, Palm Beach County",Swimming,1,26.5867358,-80.0519859,15
09-Oct-2017,2017.0,Unprovoked,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,1,21.9641667,-159.7088889,12
05-Oct-2017,2017.0,Unprovoked,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,1,20.7221617,-156.4479447,15
25-Sep-2017,2017.0,Unprovoked,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,2,30.3709252,-81.4067718,7
24-Sep-2017,2017.0,Invalid,New York,Rockaway,Surfing,1,40.592658,-73.7977928,15
24-Sep-2017,2017.0,Unprovoked,Florida,Fort Worth,Surfing,1,32.7554883,-97.3307658,15
20-Sep-2017,2017.0,Unprovoked,Florida,Palm Beach County,Surfing,1,26.6514503,-80.2767327,8
16-Sep-2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,10,29.0963729,-80.9369983,5
13-Sep-2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,10,29.0963729,-80.9369983,5
02-Sep-2017,2017.0,Unprovoked,Florida,"Marathon, Monroe County",Swimming,1,24.726026,-81.0446262,15
02-Sep-2017,2017.0,Unprovoked,Texas,"South Padre Island, Cameron County",Swimming,2,26.1118401,-97.1681257,15
02-Sep-2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
27-Aug-2017,2017.0,Unprovoked,Florida,Bathtub Beach ,Wading,1,27.186242,-80.16036,7
23-Aug-2017,2017.0,Unprovoked,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,1,41.8917732,-69.9611306,10
10-Aug-2017,2017.0,Unprovoked,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,1,32.1564095,-80.7669039,15
03-Aug-2017,2017.0,Provoked,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,1,41.5493017,-70.5557244,5
07-Jul-2016,2016.0,Provoked,Massachusetts,"Off Gloucester, Essec County",Fishing,1,42.6159285,-70.6619888,15
01-Aug-2017,2017.0,Watercraft,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Fishing,1,37.2273608,-122.4109773,1
31-Jul-2017,2017.0,Unprovoked,Florida,"Jacksonvlle, Duval County",Skimboarding,1,30.3321838,-81.655651,15
29-Jul-2017,2017.0,Invalid,South Carolina,"Hilton Head Island, Beaufort County",Swimming,4,32.216316,-80.752608,9
20-Jul-2017,2017.0,Invalid,South Carolina,"Hilton Head Island, Beaufort County",Swimming,4,32.216316,-80.752608,9
20-Jul-2017,2017.0,Watercraft,California,"Stearns Wharf, Santa Barbara",Kayaking,1,34.4099861,-119.6855917,15
20-Jul-2017,2017.0,Unprovoked,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,1,34.4168342,-119.8322099,15
14-Jul-2017,2017.0,Unprovoked,Washington,"South Beach, Westport, Grays Harbor County",Surfing,1,46.8889468,-124.1064502,15
11-Jul-2017,2017.0,Watercraft,California,"Santa Cruz, Santa Cruz County",Kayaking,1,36.9741171,-122.0307963,15
09-Jul-2017,2017.0,Unprovoked,Florida,"Haulover Beach, Miami-Dade County",Swimming,1,25.9114426,-80.1234842,15
29-Jun-2017,2017.0,Invalid,South Carolina,Wrightsville Beach,Fishing,2,34.2085036,-77.7963709,14
21-Jun-2017,2017.0,Unprovoked,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,1,32.1421266,-80.7523971,15
19-Jun-2017,2017.0,Unprovoked,Florida,"Singer Island, Palm Beach County",Surfing,1,26.7850625,-80.0375408,11
18-Jun-2017,2017.0,Unprovoked,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,2,32.1940526,-80.6976655,15
10-Jun-2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,10,29.0963729,-80.9369983,5
04-Jun-2017,2017.0,Unprovoked,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,1,24.5735893,-81.6856808,2
30-May-2017,2017.0,Provoked,South Carolina,"Awendaw, Charleston County",Touching a shark,1,33.0376703,-79.613127,0
28-May-2017,2017.0,Unprovoked,Florida,Off Jupiter,Feeding sharks,1,26.9342246,-80.0942087,15
03-May-2017,2017.0,Invalid,California,"Sunset Beach, Orange County",Surfing,1,33.7207336,-118.0735739,15
29-Apr-2017,2017.0,Unprovoked,California,"San Onofre, San Diego County ",Swimming,2,33.3728077,-117.5656012,10
29-Apr-2017,2017.0,Unprovoked,South Carolina,"Folly Beach, Charleston County",Surfing,4,32.6551798,-79.9403673,5
